# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
No Tx vs. No Tx	Control vs. Recovery	-7.09326205585	6.22838609167993e-11	4.110734820508753e-09	N/A	N/A
No Tx vs. No Tx	Control vs. Experimental	-36.3419833286	2.4237669671934976e-122	1.5996861983477083e-120	N/A	N/A
No Tx vs. No Tx	No Tx vs. Recovery	-13.8273822267	1.209176646312317e-25	7.980565865661292e-24	N/A	N/A
No Tx vs. No Tx	No Tx vs. Experimental	-30.8698878343	1.9709763194340063e-87	1.3008443708264442e-85	N/A	N/A
No Tx vs. No Tx	Recovery vs. Experimental	-16.6506856717	2.7439103642486733e-35	1.8109808404041245e-33	N/A	N/A
Recovery vs. Recovery	Experimental vs. Experimental	-5.59500158485	9.28305030921222e-08	6.1268132040800645e-06	N/A	N/A
Recovery vs. Recovery	Control vs. No Tx	-3.38409992437	0.0008632319616069364	0.0569733094660578	N/A	N/A
Recovery vs. Recovery	Control vs. Recovery	1.24682293267	0.21559351778909908	1	N/A	N/A
Recovery vs. Recovery	Control vs. Experimental	-11.6295947243	3.078802621353502e-26	2.0320097300933116e-24	N/A	N/A
Recovery vs. Recovery	No Tx vs. Recovery	-4.06934074698	0.00013373428363835032	0.008826462720131122	N/A	N/A
Recovery vs. Recovery	No Tx vs. Experimental	-10.9923086947	2.0422640705356355e-22	1.3478942865535195e-20	N/A	N/A
Recovery vs. Recovery	Recovery vs. Experimental	-4.31102020465	3.873125631686746e-05	0.0025562629169132525	N/A	N/A
Experimental vs. Experimental	Control vs. No Tx	3.64161200263	0.0003133882392085674	0.02068362378776545	N/A	N/A
Experimental vs. Experimental	Control vs. Recovery	16.2645900613	0.0	0.0	N/A	N/A
Experimental vs. Experimental	Control vs. Experimental	-1.68660434371	0.09236191592853332	1	N/A	N/A
Experimental vs. Experimental	No Tx vs. Recovery	4.40612169242	1.6917828195239792e-05	0.0011165766608858263	N/A	N/A
Experimental vs. Experimental	No Tx vs. Experimental	-0.875329050918	0.3819969044807	1	N/A	N/A
Experimental vs. Experimental	Recovery vs. Experimental	2.38858282224	0.01768407260205951	1	N/A	N/A
Control vs. No Tx	Control vs. Recovery	11.6036182582	0.0	0.0	N/A	N/A
Control vs. No Tx	Control vs. Experimental	-7.11913080914	3.879015452303356e-12	2.5601501985202153e-10	N/A	N/A
Control vs. No Tx	No Tx vs. Recovery	1.09110774259	0.27631965876839426	1	N/A	N/A
Control vs. No Tx	No Tx vs. Experimental	-5.46589429292	8.317378981150144e-08	5.489470127559095e-06	N/A	N/A
Control vs. No Tx	Recovery vs. Experimental	-0.882670174758	0.37818541652243176	1	N/A	N/A
Control vs. Recovery	Control vs. Experimental	-28.7798342361	2.1212888894525257e-98	1.4000506670386669e-96	N/A	N/A
Control vs. Recovery	No Tx vs. Recovery	-9.41193637334	1.4832357182822344e-16	9.789355740662747e-15	N/A	N/A
Control vs. Recovery	No Tx vs. Experimental	-24.5245953493	8.572539116040571e-72	5.657875816586777e-70	N/A	N/A
Control vs. Recovery	Recovery vs. Experimental	-12.0374517474	1.2382661229996509e-24	8.172556411797696e-23	N/A	N/A
Control vs. Experimental	No Tx vs. Recovery	9.69735405262	0.0	0.0	N/A	N/A
Control vs. Experimental	No Tx vs. Experimental	1.03651123735	0.30046272069611746	1	N/A	N/A
Control vs. Experimental	Recovery vs. Experimental	5.56882065333	4.755063276462579e-08	3.138341762465302e-06	N/A	N/A
No Tx vs. Recovery	No Tx vs. Experimental	-8.48628895933	1.8751001639315475e-15	1.2375661081948212e-13	N/A	N/A
No Tx vs. Recovery	Recovery vs. Experimental	-2.03998292369	0.04319273516130149	1	N/A	N/A
No Tx vs. Experimental	Recovery vs. Experimental	4.36546780356	1.7744974465605523e-05	0.0011711683147299645	N/A	N/A
